Case n W LB H1 T1 H2 T2 H3 T3 H4 T4 H5 T5 H6 T6 H7 T7 H8 T8 H9 T9 H10 T10
beng01 20.0 25.0 30.0 31.0 58.007 31.0 58.0063 31.0 58.0062 31.0 58.0063 31.0 58.0062 31.0 58.0062 31.0 58.0062 31.0 58.0064 31.0 58.0062 31.0 58.0061
beng02 40.0 25.0 57.0 58.0 58.0125 58.0 58.0141 58.0 58.0104 58.0 58.0103 58.0 58.0087 58.0 58.0108 58.0 58.0088 58.0 58.0095 58.0 58.0088 58.0 58.0106
beng03 60.0 25.0 84.0 84.0 14.5049 84.0 14.5047 84.0 14.5045 84.0 14.5043 84.0 14.5044 84.0 14.502 84.0 14.5045 84.0 14.5047 84.0 14.5047 84.0 14.5047
beng04 80.0 25.0 107.0 107.0 14.5068 107.0 14.5079 107.0 14.5062 107.0 14.5178 107.0 14.507 107.0 14.5063 107.0 14.5029 107.0 14.5068 107.0 14.5067 107.0 14.5073
beng05 100.0 25.0 134.0 134.0 14.5099 134.0 14.5097 134.0 14.5087 134.0 14.509 134.0 14.509 134.0 14.5096 134.0 14.5045 134.0 14.5096 134.0 14.5082 134.0 14.5093
beng06 40.0 40.0 36.0 36.0 14.5034 36.0 14.5029 36.0 14.5029 36.0 29.0056 36.0 14.5028 36.0 29.0056 36.0 14.5029 36.0 29.0057 36.0 14.5028 36.0 14.503
beng07 80.0 40.0 67.0 67.0 14.5065 67.0 14.5057 67.0 14.5058 67.0 14.5059 67.0 14.5058 67.0 14.5071 67.0 14.506 67.0 14.5063 67.0 14.5061 67.0 14.5062
beng08 120.0 40.0 101.0 101.0 14.5114 101.0 14.511 101.0 14.5108 101.0 14.5114 101.0 14.5117 101.0 14.5115 101.0 14.5119 101.0 14.5113 101.0 14.5116 101.0 14.5114
beng09 160.0 40.0 126.0 126.0 14.5311 126.0 14.5293 126.0 14.5303 126.0 14.5301 126.0 14.5294 126.0 14.5299 126.0 14.5313 126.0 14.5248 126.0 14.5165 126.0 14.533
beng10 200.0 40.0 156.0 156.0 14.5341 156.0 14.5347 156.0 14.5383 156.0 14.5342 156.0 14.5377 156.0 14.5366 156.0 14.5362 156.0 14.5392 156.0 14.5223 156.0 14.5372
cgcut1 16.0 10.0 23.0 25.0 58.0064 25.0 58.0058 25.0 58.0056 25.0 58.02 25.0 58.0059 25.0 58.0059 25.0 58.0058 25.0 58.0057 25.0 58.0059 25.0 58.0058
cgcut2 23.0 70.0 63.0 65.0 58.0079 65.0 58.0071 65.0 58.0069 65.0 58.007 65.0 58.007 65.0 58.0068 65.0 58.0072 65.0 58.007 65.0 58.0068 65.0 58.0069
cgcut3 60.0 70.0 636.0 659.0 58.0152 659.0 58.0153 659.0 58.0154 659.0 58.0133 659.0 58.0137 661.0 58.0131 659.0 58.0133 659.0 58.0154 659.0 58.0152 659.0 58.0151
gcut01 10.0 250.0 1016.0 1016.0 14.5017 1016.0 14.5011 1016.0 14.5012 1016.0 14.5013 1016.0 14.5012 1016.0 14.5011 1016.0 14.5012 1016.0 14.5013 1016.0 14.5012 1016.0 14.5011
gcut02 20.0 250.0 1133.0 1191.0 58.0069 1191.0 58.0078 1188.0 58.0062 1191.0 58.0062 1191.0 58.007 1191.0 58.0066 1191.0 58.0062 1191.0 58.0064 1191.0 58.0062 1191.0 58.006
