1	1000	10
266	244	1	100
269	203	1	100
281	183	0	100
212	189	0	100
276	141	1	100
243	128	0	100
174	146	0	100
177	105	0	100
121	112	0	100
109	103	0	100


2	1000	10
294	241	1	100
253	238	0	100
218	200	0	100
207	178	1	100
230	149	0	100
290	103	0	100
171	145	0	100
165	116	1	100
152	125	1	100
125	117	0	100


3	1000	10
246	245	0	100
283	193	0	100
288	171	0	100
297	160	1	100
261	148	1	100
208	182	1	100
287	114	0	100
148	146	1	100
167	113	1	100
147	120	0	100


4	1000	10
291	206	1	100
268	159	1	100
212	174	1	100
285	124	0	100
248	139	1	100
226	142	0	100
237	135	1	100
156	151	0	100
174	124	0	100
168	122	0	100


5	1000	10
295	228	0	100
281	189	1	100
290	166	1	100
236	178	1	100
223	174	0	100
251	154	0	100
262	108	1	100
190	125	1	100
186	124	0	100
204	107	0	100


6	1000	10
281	277	0	100
261	261	1	100
284	236	1	100
238	206	1	100
270	167	0	100
206	149	1	100
242	124	0	100
190	149	0	100
212	133	0	100
158	140	0	100


7	1000	10
285	283	1	100
295	168	0	100
218	213	1	100
290	143	0	100
236	161	1	100
234	135	0	100
169	163	0	100
184	144	0	100
240	105	1	100
236	102	0	100


8	1000	10
299	248	0	100
272	242	0	100
292	207	1	100
249	210	1	100
255	138	1	100
212	147	1	100
225	114	1	100
195	123	1	100
159	136	1	100
164	130	1	100


9	1000	10
292	211	0	100
266	198	1	100
256	200	1	100
242	184	0	100
277	146	0	100
221	168	1	100
266	136	1	100
187	185	0	100
232	127	0	100
143	107	1	100


10	1000	10
300	253	1	100
295	195	1	100
298	189	0	100
299	148	0	100
207	160	1	100
190	168	0	100
236	118	0	100
171	115	0	100
156	126	0	100
129	105	1	100


11	1000	10
294	287	0	100
283	195	0	100
278	198	0	100
286	185	1	100
213	192	1	100
211	174	1	100
265	131	0	100
259	118	1	100
151	119	0	100
143	105	1	100


12	1000	10
278	183	1	100
277	134	0	100
223	166	0	100
222	160	0	100
251	120	0	100
187	158	0	100
154	141	1	100
208	101	0	100
177	100	1	100
142	118	1	100


13	1000	10
252	243	1	100
231	211	0	100
280	165	0	100
277	147	0	100
251	151	0	100
195	181	0	100
182	171	1	100
181	153	1	100
163	161	1	100
227	113	1	100


14	1000	10
275	264	0	100
286	247	1	100
233	230	0	100
291	184	1	100
241	195	1	100
252	176	1	100
285	129	1	100
276	125	1	100
185	164	0	100
177	129	1	100


15	1000	10
240	237	1	100
224	222	1	100
213	209	0	100
274	139	0	100
206	167	1	100
187	180	0	100
280	112	0	100
218	105	0	100
208	105	0	100
118	117	1	100


16	1000	10
276	190	0	100
299	144	0	100
289	146	1	100
247	164	0	100
228	174	0	100
227	170	1	100
296	129	0	100
193	168	1	100
170	162	1	100
189	131	1	100


17	1000	10
271	228	0	100
266	178	0	100
276	168	1	100
223	206	1	100
245	177	1	100
251	162	1	100
194	170	1	100
268	114	0	100
178	159	1	100
168	106	1	100


18	1000	10
295	288	1	100
276	250	0	100
248	209	1	100
260	197	0	100
267	180	1	100
261	184	0	100
225	158	1	100
245	138	0	100
225	147	1	100
201	164	1	100


19	1000	10
284	266	0	100
289	257	1	100
277	224	1	100
288	182	0	100
294	128	0	100
200	155	1	100
213	143	0	100
184	108	1	100
151	123	0	100
137	132	1	100


20	1000	10
266	212	1	100
238	226	1	100
250	203	1	100
284	127	1	100
210	147	0	100
176	153	1	100
172	146	0	100
181	137	0	100
190	109	0	100
124	100	1	100


21	1000	10
266	254	1	100
263	251	0	100
280	210	1	100
292	200	0	100
275	171	1	100
234	181	0	100
183	176	1	100
267	113	0	100
207	140	1	100
193	131	1	100


22	1000	10
287	226	0	100
260	223	0	100
292	196	0	100
268	187	0	100
235	210	1	100
230	205	1	100
195	152	1	100
200	133	1	100
150	147	1	100
171	128	1	100


23	1000	10
262	251	1	100
244	243	0	100
223	197	0	100
290	131	1	100
270	139	0	100
275	136	0	100
203	174	1	100
278	121	0	100
200	148	1	100
213	129	0	100


24	1000	10
257	247	0	100
287	175	1	100
220	216	0	100
206	196	0	100
196	195	1	100
218	121	0	100
190	135	0	100
160	145	1	100
192	113	0	100
141	130	0	100


25	1000	10
238	217	0	100
295	173	1	100
218	208	0	100
243	175	1	100
245	157	1	100
276	120	1	100
225	145	0	100
215	123	1	100
253	103	0	100
220	114	0	100


26	1000	10
295	253	1	100
299	201	0	100
300	179	0	100
239	211	1	100
223	210	0	100
220	171	0	100
199	125	1	100
211	116	0	100
164	120	1	100
135	104	0	100


27	1000	10
272	254	0	100
300	226	0	100
261	219	0	100
229	213	0	100
232	192	0	100
245	151	1	100
186	174	1	100
291	107	1	100
244	123	1	100
179	118	0	100


28	1000	10
296	254	0	100
267	246	0	100
283	221	1	100
289	204	1	100
238	225	1	100
230	194	1	100
280	129	0	100
254	114	0	100
152	102	1	100
130	118	0	100


29	1000	10
290	233	1	100
283	178	1	100
237	185	1	100
221	166	1	100
207	170	1	100
257	132	0	100
243	133	0	100
176	166	0	100
224	103	0	100
132	100	0	100


30	1000	10
289	217	0	100
226	200	1	100
236	179	1	100
240	164	0	100
218	177	0	100
254	118	1	100
232	125	1	100
261	107	1	100
207	123	0	100
176	109	0	100


31	1000	10
372	250	1	100
358	240	0	100
330	258	1	100
311	171	1	100
278	164	1	100
254	81	1	100
297	67	1	100
150	95	0	100
357	33	1	100
277	26	0	100


32	1000	10
371	338	1	100
312	208	0	100
284	221	1	100
321	167	1	100
168	145	1	100
235	72	0	100
119	84	0	100
141	55	0	100
92	51	1	100
87	34	0	100


33	1000	10
324	285	0	100
291	248	0	100
375	130	0	100
238	171	0	100
193	161	0	100
295	95	1	100
170	153	0	100
181	140	1	100
167	101	0	100
159	66	0	100


34	1000	10
305	219	1	100
372	173	1	100
225	209	0	100
341	118	1	100
361	86	0	100
199	114	0	100
310	71	0	100
147	139	0	100
174	106	0	100
206	31	0	100


35	1000	10
316	284	0	100
258	251	1	100
350	183	0	100
326	187	1	100
324	177	1	100
265	157	0	100
129	86	1	100
206	49	1	100
260	38	0	100
80	68	0	100


36	1000	10
372	311	0	100
326	299	0	100
326	280	0	100
276	238	0	100
227	202	1	100
350	100	1	100
232	148	1	100
183	152	1	100
277	86	1	100
181	67	0	100


37	1000	10
359	340	1	100
341	243	0	100
294	259	0	100
346	201	1	100
326	192	0	100
285	184	0	100
236	65	0	100
271	55	0	100
232	53	1	100
308	30	0	100


38	1000	10
311	307	0	100
315	258	0	100
313	128	0	100
247	131	1	100
187	152	1	100
279	73	1	100
230	61	0	100
156	79	1	100
191	39	0	100
38	33	1	100


39	1000	10
354	261	1	100
305	233	1	100
330	206	1	100
245	231	0	100
246	190	1	100
328	130	1	100
359	110	1	100
267	142	0	100
272	109	0	100
71	31	1	100


40	1000	10
347	281	1	100
331	192	1	100
345	178	1	100
231	130	1	100
184	154	0	100
167	137	0	100
194	113	1	100
185	61	0	100
135	50	0	100
87	52	1	100


41	1000	10
301	295	0	100
332	197	0	100
351	136	1	100
257	179	0	100
260	162	0	100
203	177	1	100
220	149	0	100
290	96	1	100
366	66	1	100
50	30	1	100


42	1000	10
319	298	1	100
344	246	0	100
313	268	1	100
255	84	0	100
142	140	1	100
158	104	1	100
336	45	0	100
200	74	0	100
153	48	1	100
39	39	1	100


43	1000	10
345	184	1	100
293	204	1	100
316	182	1	100
272	178	1	100
222	170	1	100
334	98	0	100
334	97	0	100
334	53	0	100
279	61	0	100
153	59	1	100


44	1000	10
288	237	0	100
270	187	1	100
229	197	1	100
294	153	0	100
207	160	0	100
161	136	1	100
226	59	1	100
85	77	1	100
108	49	0	100
145	35	1	100


45	1000	10
323	309	1	100
318	204	1	100
251	242	0	100
337	127	0	100
212	169	1	100
335	106	0	100
244	115	1	100
273	49	0	100
179	65	0	100
210	27	1	100


46	1000	10
301	298	0	100
317	252	0	100
346	140	0	100
297	133	1	100
198	142	1	100
213	121	0	100
288	52	0	100
322	39	1	100
238	51	1	100
180	28	1	100


47	1000	10
363	285	0	100
339	217	0	100
363	188	0	100
371	136	0	100
361	105	0	100
312	88	1	100
263	100	0	100
177	86	1	100
276	53	1	100
246	39	1	100


48	1000	10
220	207	1	100
230	192	1	100
187	174	0	100
256	102	0	100
293	88	0	100
308	54	0	100
362	29	1	100
99	91	0	100
164	25	0	100
58	40	1	100


49	1000	10
344	290	0	100
310	253	1	100
300	223	0	100
309	206	1	100
288	161	1	100
176	164	1	100
343	75	1	100
160	98	1	100
74	65	0	100
59	46	1	100


50	1000	10
321	318	1	100
345	263	1	100
356	251	0	100
358	245	0	100
363	142	0	100
226	167	1	100
349	91	0	100
173	171	0	100
232	63	0	100
240	58	1	100


51	1000	10
315	292	1	100
359	217	0	100
215	186	1	100
280	80	0	100
343	47	0	100
247	64	0	100
