          21
          10
           1           2           3
           2           2           3
           3           2           7
           4           2           7
           5           2           7
           6           5           4
           7           5           4
           8           1           4
           9           1           4
          10          10           1
          11           4           8
          12           2           4
          13           2           4
          14           7           3
          15           7           3
          16           7           3
          17           2           6
          18           2           6
          19           2           6
          20           1           9
          21           1           9
